case,year,DWT_CLOSS_PgCperyr,WOOD_HARVESTC_PgCperyr,DWT_PROD10C_GAIN_PgCperyr,DWT_PROD100C_GAIN_PgCperyr,NEE_PgCperyr,NPP_PgCperyr,COL_FIRE_CLOSS_PgCperyr,PROD10C_PgC_avg,PROD100C_PgC_avg,TOTVEGC_PgC_avg,TOTSOMC_PgC_avg,TOTECOSYSC_PgC_avg,PBOT_Pa,QBOT_massfrac,co2_ppmv
iESM45_uncoupled,2018,1.237784518,1.147156739,0.23036398,0.043895814,1.431535849,46.67254263,2.400322917,5.362681157,4.43060951,528.8728119,515.1216128,1128.788505,91877.16486,0.007168107,443.6920819
iESM45_uncoupled,2019,1.116861478,1.133062726,0.191729529,0.034357589,-0.531993182,48.18677292,2.337029772,5.376052526,4.486004591,528.8216089,515.0814897,1128.295495,91878.63193,0.007087884,447.0738452
iESM45_uncoupled,2020,0.359781831,1.155431282,0.131552816,0.020730406,-3.204475721,49.4602714,2.061355321,5.337955144,4.538469321,531.6642595,514.7531018,1130.262972,91871.0107,0.007004356,449.1560609
iESM45_uncoupled,2021,0.348679796,1.158596485,0.125762396,0.019809936,-1.318476216,47.67239995,2.234507691,5.283187207,4.589445192,534.3157895,514.467459,1133.189846,91871.33444,0.007069877,451.0859451
iESM45_uncoupled,2022,0.318688473,1.174393116,0.111075458,0.017228627,-0.79278305,48.26082413,2.204287377,5.237939851,4.639352371,534.1776434,514.769985,1133.885905,91889.79091,0.007254568,454.4228348
iESM45_uncoupled,2023,0.289853318,1.182210852,0.097805589,0.014433147,-2.323076991,49.2694438,2.033188168,5.197314549,4.688053163,536.562135,514.6666859,1135.591737,91856.01238,0.007184902,456.9244992
iESM45_uncoupled,2024,0.266404082,1.194893892,0.090928301,0.01204851,-2.256825096,48.81082513,2.149472699,5.162732227,4.735504666,538.6858815,514.731493,1137.807847,91880.11689,0.007030464,459.5304767
iESM45_uncoupled,2025,0.323926292,1.216992859,0.133501448,0.015660483,-1.69211621,48.78883078,2.079175707,5.16502127,4.785813739,540.6646082,514.9042503,1139.75039,91877.74627,0.007080556,462.2730796
iESM45_uncoupled,2026,0.315053674,1.231895096,0.13215027,0.015424803,-0.465993112,48.23256924,2.38520053,5.198388593,4.839885471,540.9788672,515.1502752,1141.219345,91881.59941,0.007212195,465.2975195
iESM45_uncoupled,2027,0.288683205,1.244714828,0.118287126,0.013072923,-1.264688967,48.96807449,2.419798101,5.227587333,4.894326254,542.0276983,515.383774,1142.150654,91897.07785,0.007348221,468.6563378
iESM45_uncoupled,2028,0.273301029,1.261803607,0.111831211,0.011695978,-3.231475387,50.44536285,2.128043253,5.251740003,4.949112097,544.2277754,515.29285,1144.221227,91866.33069,0.007208492,471.1126229
iESM45_uncoupled,2029,0.256690835,1.269615676,0.103072264,0.011209369,-2.728499189,49.93347646,2.034519362,5.272742517,5.004361667,547.7551387,515.1509052,1147.474111,91852.73582,0.007220162,473.6371932
iESM45_uncoupled,2030,0.170272764,1.283320233,0.057468991,0.007827047,-2.093019969,49.38295436,2.111785306,5.272297605,5.058707935,549.3174352,515.2735534,1149.717538,91872.36386,0.007255983,476.2661902
iESM45_uncoupled,2031,0.156226393,1.299302669,0.051481571,0.006950236,-1.384917687,49.47994438,2.155581265,5.260455635,5.112655508,550.3216333,515.4871841,1151.348919,91885.88802,0.007356091,479.5423084
iESM45_uncoupled,2032,0.143773884,1.313700776,0.04778219,0.006381238,-2.469408697,50.09269365,1.976194996,5.257797566,5.167419202,552.2237208,515.68905,1153.205115,91876.22531,0.007184391,482.3114701
iESM45_uncoupled,2033,0.130996167,1.332764847,0.04099154,0.00491263,-1.526407344,49.32104096,2.252058448,5.263870472,5.222246171,553.8487275,516.0006564,1155.389858,91877.51167,0.007195247,485.4022069
iESM45_uncoupled,2034,0.123980556,1.351386791,0.038980393,0.003889096,-3.131273941,50.36015308,2.16340111,5.279618906,5.277163949,555.9885912,516.2484731,1157.547976,91879.82052,0.007235815,488.4645445
iESM45_uncoupled,2035,0.208652872,1.375704112,0.056494517,0.006875593,-0.99343682,49.20937556,2.337451388,5.315348358,5.335337995,557.6118796,516.29839,1160.096281,91878.18692,0.007301999,491.5250703
iESM45_uncoupled,2036,0.196886177,1.38708441,0.053906608,0.007161603,-1.982201671,50.1670723,2.390815084,5.362662134,5.397802766,558.4423837,516.5805823,1161.479026,91860.16623,0.007198856,494.8057931
iESM45_uncoupled,2037,0.190997443,1.39291283,0.053126379,0.006834767,-2.251344569,50.33112702,2.084863743,5.403229401,5.461505066,560.1627049,516.7962285,1163.382233,91887.18483,0.007294011,498.0673834
iESM45_uncoupled,2038,0.175582478,1.398734216,0.046583698,0.005604249,-0.878612689,49.54238122,2.489854253,5.436570003,5.524592453,561.2804584,516.9853236,1165.490502,91874.04066,0.007404522,501.2807415
iESM45_uncoupled,2039,0.163371212,1.399904854,0.044478168,0.004926409,-2.952244002,51.30811392,2.491890582,5.461252588,5.587251485,563.1268805,517.078863,1166.992759,91898.85706,0.007544468,504.5607298
iESM45_uncoupled,2040,0.127460275,1.409814327,0.025375634,0.004386091,-2.938523048,51.28728074,2.285617578,5.471758506,5.651624334,566.4957641,516.7446617,1170.223873,91902.61102,0.007388346,507.0145293
iESM45_uncoupled,2041,0.119419863,1.423084273,0.023625135,0.00406264,-1.756450723,50.06386748,2.407338132,5.477663445,5.718492398,568.6769635,516.764047,1172.773574,91876.04452,0.007350769,510.0017301
iESM45_uncoupled,2042,0.11517491,1.436465261,0.02236744,0.00383108,0.122049088,48.85502894,2.653734574,5.490362786,5.786758227,567.5807409,517.3061596,1173.558122,91899.94924,0.007382337,513.8428937
iESM45_uncoupled,2043,0.108271528,1.445975134,0.020665808,0.003236094,-1.504010629,51.00247469,2.701234201,5.507118368,5.855603679,567.8961084,517.6093922,1173.996399,91885.48558,0.007699727,517.7149087
iESM45_uncoupled,2044,0.097976539,1.495665345,0.01784023,0.002628151,-3.659091742,52.12792605,2.306552865,5.539264643,5.930126609,570.7324269,517.3735872,1176.595573,91889.90953,0.007365011,520.2175252
iESM45_uncoupled,2045,0.110929459,1.505276095,0.027672489,0.003660907,-1.743121957,50.78867351,2.25964307,5.585779817,6.011253234,573.0679604,517.4697605,1179.329069,91898.0921,0.007400024,523.2643961
iESM45_uncoupled,2046,0.101495148,1.521664015,0.024925608,0.003192013,0.146294332,49.71074545,2.752876205,5.635137952,6.094107479,573.0945063,517.8829676,1180.519327,91912.50818,0.007538406,526.9434022
iESM45_uncoupled,2047,0.092218355,1.526172387,0.022619547,0.003217647,-2.281803724,52.07519796,2.430273475,5.6788336,6.177755967,573.7825402,518.1609214,1180.841952,91897.413,0.007694958,530.8495527
